,0,1,2,3,4,5,6,7,8
Total_early_time,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
cav_use_mode,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
drivingcost_per_mile,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
num_cav,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0
num_cav_trips,72.0,72.0,72.0,97.0,94.0,94.0,93.0,96.0,96.0
num_convention car trips,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
num_delayed_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_early_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_occupied_trips,48.0,48.0,48.0,62.0,62.0,62.0,63.0,63.0,63.0
num_pickup_trips,48.0,48.0,48.0,62.0,62.0,62.0,63.0,63.0,63.0
num_shared_trips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_unoccupied_trips,24.0,24.0,24.0,35.0,32.0,32.0,30.0,33.0,33.0
reward_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_mode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
share_ride_factor,1.0,1.25,1.5,1.0,1.25,1.5,1.0,1.25,1.5
time_window_flag,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total_AV_driving_distance,275.315,275.315,275.315,327.53499999999997,319.84499999999997,319.84499999999997,305.51399999999995,313.9440000000001,313.9440000000001
total_AV_driving_time,5.179999999999997,5.179999999999997,5.179999999999997,5.723333333333329,5.611666666666665,5.611666666666665,5.2783333333333315,5.399999999999997,5.399999999999997
total_AV_unoccupied_driving_distance,93.17399999999999,93.17399999999999,93.17399999999999,103.76500000000001,96.07500000000002,96.07500000000002,79.204,87.63400000000001,87.63400000000001
total_AV_unoccupied_driving_time,1.7233333333333336,1.7233333333333336,1.7233333333333336,1.6500000000000006,1.5383333333333336,1.5383333333333336,1.1566666666666663,1.2783333333333333,1.2783333333333333
total_convention_vehicle_driving_distance,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685,144.685
total_convention_vehicle_driving_time,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667,2.716666666666667
total_delayed_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_reward,2074.0,2074.0,2074.0,2444.0,2444.0,2444.0,2473.0,2473.0,2473.0
total_schedule_penalty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total_travel_cost,385.35767999999996,385.35767999999996,385.35767999999996,443.98343999999986,443.98343999999986,443.98343999999986,421.6006899999999,421.6006899999999,421.6006899999999
