,person_id,num_trips,value_of_time,trip_counter,ActivityTime,tripmode,orig_purpose,dest_purpose,orig_maz,orig_taz,dest_maz,dest_taz,starttimeinterval,starttime,hh_id,origin_node,destination_node
20994,7078533,10,0.0407,1,76.0,3,Home,eatingout,77,20,71,18,2,129.0,2105189,10772,10646
20995,7078533,10,0.0407,2,46.0,3,eatingout,Home,71,18,77,20,4,208.0,2105189,10541,10762
20996,7078533,10,0.0407,3,2.0,5,Home,visiting,77,20,68,17,6,255.0,2105189,10772,10336
20997,7078533,10,0.0407,4,15.0,5,visiting,Home,68,17,77,20,6,261.0,2105189,10492,10772
20998,7078533,10,0.0407,5,199.0,1,Home,work,77,20,71,18,7,279.0,2105189,10708,10708
20999,7078533,10,0.0407,6,14.0,7,Work,work-based,71,18,60,15,14,483.0,2105189,10646,10440
21000,7078533,10,0.0407,7,363.0,7,work-based,Work,60,15,71,18,15,512.0,2105189,10338,10709
21001,7078533,10,0.0407,8,31.0,1,work,Home,71,18,77,20,27,887.0,2105189,10595,10707
21002,7078533,10,0.0407,9,288.0,1,Home,discretionary,77,20,71,18,28,919.0,2105189,10772,10594
21003,7078533,10,0.0407,10,227.0,1,discretionary,Home,71,18,77,20,38,1212.0,2105189,10707,10707
138466,7078534,9,0.0407,1,2.0,5,Home,visiting,77,20,68,17,6,255.0,2105189,10772,10335
138467,7078534,9,0.0407,2,241.0,5,visiting,Home,68,17,77,20,6,261.0,2105189,10444,10772
138468,7078534,9,0.0407,3,19.0,1,Home,maintenance,77,20,20,5,14,505.0,2105189,10772,10056
138469,7078534,9,0.0407,4,178.0,1,maintenance,Home,20,5,77,20,15,533.0,2105189,10056,10762
138470,7078534,9,0.0407,5,12.0,5,Home,eatingout,77,20,13,4,21,716.0,2105189,10772,9623
138471,7078534,9,0.0407,6,26.0,5,eatingout,Home,13,4,77,20,22,744.0,2105189,9622,10772
138472,7078534,9,0.0407,7,5.0,7,Home,shop,77,20,45,12,24,782.0,2105189,10762,10147
138473,7078534,9,0.0407,8,85.0,7,shop,Shop,45,12,77,20,24,801.0,2105189,9981,10707
138474,7078534,9,0.0407,9,529.0,7,Shop,Home,77,20,77,20,28,900.0,2105189,10772,10762
138475,7078535,4,0.0271,1,2.0,5,Home,visiting,77,20,68,17,6,255.0,2105189,10646,10443
138476,7078535,4,0.0271,2,411.0,5,visiting,Home,68,17,77,20,6,261.0,2105189,10541,10772
138477,7078535,4,0.0271,3,317.0,7,Home,discretionary,77,20,80,20,20,675.0,2105189,10707,10772
138478,7078535,4,0.0271,4,422.0,7,discretionary,Home,80,20,77,20,31,1003.0,2105189,10762,10707
138479,7078536,7,0.0271,1,2.0,5,Home,visiting,77,20,68,17,6,255.0,2105189,10646,10443
138480,7078536,7,0.0271,2,91.0,5,visiting,Home,68,17,77,20,6,261.0,2105189,10443,10707
138481,7078536,7,0.0271,3,35.0,3,Home,discretionary,77,20,71,18,9,355.0,2105189,10613,10709
138482,7078536,7,0.0271,4,48.0,5,discretionary,Home,71,18,77,20,11,392.0,2105189,10710,10772
138483,7078536,7,0.0271,5,533.0,3,Home,visiting,77,20,60,15,12,441.0,2105189,10646,10444
138484,7078536,7,0.0271,6,27.0,5,visiting,Visiting,60,15,8,2,30,977.0,2105189,10400,9866
138485,7078536,7,0.0271,7,419.0,5,Visiting,Home,8,2,77,20,31,1010.0,2105189,9864,10762
