,person_id,num_trips,value_of_time,trip_counter,ActivityTime,tripmode,orig_purpose,dest_purpose,orig_maz,orig_taz,dest_maz,dest_taz,driver_passenger_flag,joint_trip_flag,park&ride_flag,starttimeinterval,starttime,hh_id,origin_node,destination_node,Diff_bet_starttime,travel_time,person_type,earlyarr_penalty,latearr_penalty,hh_index
34409,10036942,8,0.0789,1,475.0,14,Home,School,80,20,70,18,-1,0,0,3,155.0,3474718,10708,10710,479.0,4.0,Student-of-non-driving-age,0.2,0.5,0
37470,10036940,11,0.1184,1,319.0,10,Home,Work,80,20,17,5,-1,0,0,3,159.0,3474718,10708,9863,379.0,60.0,Full-time-worker,0.2,0.5,1
91431,10036941,11,0.1184,1,73.0,10,Home,Discretionary,80,20,71,18,-1,0,0,5,220.0,3474718,10646,10708,89.0,16.0,Full-time-worker,0.01,0.01,2
99681,10036939,15,0.1184,1,396.0,1,Home,Work,80,20,20,5,3,0,0,5,227.0,3474718,10708,10057,403.0,7.0,Full-time-worker,0.2,0.5,3
91432,10036941,11,0.1184,2,24.0,10,discretionary,Home,71,18,80,20,-1,0,0,8,309.0,3474718,10711,10772,40.0,16.0,Full-time-worker,0.0,0.02,4
91433,10036941,11,0.1184,3,143.0,1,Home,Maintenance,80,20,71,18,5,0,0,9,349.0,3474718,10772,10709,148.0,5.0,Full-time-worker,0.01,0.01,5
314760,10036943,8,0.0789,1,316.0,7,Home,School,80,20,80,20,-1,0,0,11,415.0,3474718,10708,10707,326.0,10.0,Student-of-non-driving-age,0.2,0.5,6
330471,10036937,6,0.1184,1,11.0,1,Home,Shop,80,20,54,14,1,0,0,13,456.0,3474718,10762,10597,18.0,7.0,Retired,0.01,0.01,7
330472,10036937,6,0.1184,2,118.0,1,Shop,Shop,54,14,55,14,1,0,0,13,474.0,3474718,10639,10597,122.0,4.0,Retired,0.01,0.01,8
91434,10036941,11,0.1184,4,65.0,1,maintenance,Home,71,18,80,20,5,0,0,14,497.0,3474718,10646,10707,66.0,1.0,Full-time-worker,0.0,0.02,9
37471,10036940,11,0.1184,2,67.0,7,Work,WorkBased,17,5,14,4,-1,0,0,15,538.0,3474718,10021,9622,80.0,13.0,Full-time-worker,0.2,0.5,10
91435,10036941,11,0.1184,5,389.0,11,Home,Work,80,20,71,18,5,0,1,16,563.0,3474718,10613,10710,393.0,4.0,Full-time-worker,0.2,0.5,11
330473,10036937,6,0.1184,3,75.0,1,Shop,Shop,55,14,55,14,1,0,0,17,596.0,3474718,10598,10596,80.0,5.0,Retired,0.01,0.01,12
37472,10036940,11,0.1184,3,144.0,7,work-based,Work,14,4,17,5,-1,0,0,18,618.0,3474718,9735,9863,158.0,14.0,Full-time-worker,0.2,0.5,13
99682,10036939,15,0.1184,2,56.0,1,work,Shop,20,5,20,5,3,0,0,18,630.0,3474718,9863,10056,57.0,1.0,Full-time-worker,0.01,0.01,14
34410,10036942,8,0.0789,2,114.0,14,school,Home,70,18,80,20,-1,0,0,19,634.0,3474718,10708,10707,115.0,1.0,Student-of-non-driving-age,0.0,0.02,15
330474,10036937,6,0.1184,4,278.0,1,shop,Home,55,14,80,20,1,0,0,20,676.0,3474718,10639,10707,284.0,6.0,Retired,0.0,0.02,16
99683,10036939,15,0.1184,3,13.0,1,Shop,Home,20,5,80,20,3,0,0,20,687.0,3474718,10021,10772,19.0,6.0,Full-time-worker,0.0,0.02,17
99684,10036939,15,0.1184,4,22.0,1,Home,Shop,80,20,69,18,3,0,0,21,706.0,3474718,10762,10594,27.0,5.0,Full-time-worker,0.01,0.01,18
99685,10036939,15,0.1184,5,5.0,1,Shop,EatingOut,69,18,72,18,3,0,0,22,733.0,3474718,10709,10646,7.0,2.0,Full-time-worker,0.01,0.01,19
99686,10036939,15,0.1184,6,17.0,1,EatingOut,Shop,72,18,60,15,3,0,0,22,740.0,3474718,10708,10439,20.0,3.0,Full-time-worker,0.01,0.01,20
314761,10036943,8,0.0789,2,65.0,7,school,Home,80,20,80,20,-1,0,0,22,741.0,3474718,10646,10762,76.0,11.0,Student-of-non-driving-age,0.0,0.02,21
34411,10036942,8,0.0789,3,101.0,3,Home,Shop,80,20,20,5,-1,0,0,22,749.0,3474718,10762,9864,106.0,5.0,Student-of-non-driving-age,0.01,0.01,22
99687,10036939,15,0.1184,7,5.0,1,Shop,Shop,60,15,61,16,3,0,0,23,760.0,3474718,10445,10716,6.0,1.0,Full-time-worker,0.01,0.01,23
99688,10036939,15,0.1184,8,6.0,1,shop,Shop,61,16,71,18,3,0,0,23,766.0,3474718,10750,10646,7.0,1.0,Full-time-worker,0.01,0.01,24
99689,10036939,15,0.1184,9,47.0,1,Shop,Home,71,18,80,20,3,0,0,23,773.0,3474718,10595,10762,48.0,1.0,Full-time-worker,0.0,0.02,25
37473,10036940,11,0.1184,4,5.0,10,work,Shop,17,5,79,20,-1,0,0,23,776.0,3474718,10107,10707,145.0,140.0,Full-time-worker,0.01,0.01,26
314762,10036943,8,0.0789,3,55.0,5,Home,Shop,80,20,45,12,-1,0,0,25,817.0,3474718,10613,10147,60.0,5.0,Student-of-non-driving-age,0.01,0.01,27
99690,10036939,15,0.1184,10,8.0,5,Home,Maintenance,80,20,45,12,-1,0,0,25,821.0,3474718,10762,10323,13.0,5.0,Full-time-worker,0.01,0.01,28
99691,10036939,15,0.1184,11,121.0,5,maintenance,Home,45,12,80,20,-1,0,0,25,834.0,3474718,10335,10707,126.0,5.0,Full-time-worker,0.0,0.02,29
34412,10036942,8,0.0789,4,98.0,3,shop,Home,20,5,80,20,-1,0,0,26,855.0,3474718,9736,10707,105.0,7.0,Student-of-non-driving-age,0.0,0.02,30
314763,10036943,8,0.0789,4,77.0,5,shop,Home,45,12,80,20,-1,0,0,27,877.0,3474718,10335,10762,83.0,6.0,Student-of-non-driving-age,0.0,0.02,31
37474,10036940,11,0.1184,5,6.0,7,Shop,Home,79,20,80,20,-1,0,0,28,921.0,3474718,10646,10772,18.0,12.0,Full-time-worker,0.0,0.02,32
37475,10036940,11,0.1184,6,5.0,1,Home,Maintenance,80,20,63,16,4,0,0,29,939.0,3474718,10708,10750,9.0,4.0,Full-time-worker,0.01,0.01,33
37476,10036940,11,0.1184,7,8.0,3,maintenance,Home,63,16,80,20,4,0,0,29,948.0,3474718,10710,10762,12.0,4.0,Full-time-worker,0.0,0.02,34
91436,10036941,11,0.1184,6,31.0,11,work,Home,71,18,80,20,5,0,2,29,956.0,3474718,10540,10707,35.0,4.0,Full-time-worker,0.0,0.02,35
34413,10036942,8,0.0789,5,18.0,5,Home,Maintenance,80,20,47,12,-1,1,0,29,960.0,3474718,10772,10147,21.0,3.0,Student-of-non-driving-age,0.01,0.01,36
34414,10036942,8,0.0789,6,5.0,5,maintenance,Home,47,12,80,20,-1,1,0,30,981.0,3474718,10392,10772,10.0,5.0,Student-of-non-driving-age,0.0,0.02,37
34415,10036942,8,0.0789,7,94.0,7,Home,EatingOut,80,20,77,20,-1,1,0,31,991.0,3474718,10772,10772,106.0,12.0,Student-of-non-driving-age,0.01,0.01,38
34416,10036942,8,0.0789,8,331.0,7,eatingout,Home,77,20,80,20,-1,1,0,34,1097.0,3474718,10772,10707,-942.0,12.0,Student-of-non-driving-age,0.0,0.02,39
91439,10036941,11,0.1184,9,16.0,5,Home,Shop,80,20,71,18,5,0,0,36,1141.0,3474718,10613,10646,20.0,4.0,Full-time-worker,0.01,0.01,40
91440,10036941,11,0.1184,10,22.0,5,shop,Shop,71,18,61,16,5,0,0,36,1161.0,3474718,10711,10711,25.0,3.0,Full-time-worker,0.01,0.01,41
91441,10036941,11,0.1184,11,249.0,5,Shop,Home,61,16,80,20,5,0,0,37,1186.0,3474718,10591,10707,-966.0,5.0,Full-time-worker,0.0,0.02,42
